<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.ETH-USD,60,20200809,160000,392.2800000,392.3400000,387.6400000,389.3800000,4651
GDAX.ETH-USD,60,20200809,170000,389.5100000,390.3500000,386.7200000,388.0600000,5949
GDAX.ETH-USD,60,20200809,180000,387.8800000,388.8000000,384.0200000,385.8000000,7799
GDAX.ETH-USD,60,20200809,190000,385.7600000,388.4000000,384.1500000,387.0200000,4878
GDAX.ETH-USD,60,20200809,200000,386.9600000,391.7100000,386.0100000,388.3100000,6691
GDAX.ETH-USD,60,20200809,210000,388.3000000,389.4600000,384.9100000,385.4000000,4649
GDAX.ETH-USD,60,20200809,220000,385.4000000,390.5200000,385.3300000,390.4600000,3580
GDAX.ETH-USD,60,20200809,230000,390.3400000,391.3000000,389.1700000,389.8000000,4001
GDAX.ETH-USD,60,20200810,000000,389.8100000,393.4100000,389.8100000,393.3000000,6287
GDAX.ETH-USD,60,20200810,010000,393.3000000,394.5700000,388.2100000,389.4500000,4030
GDAX.ETH-USD,60,20200810,020000,389.4500000,391.5600000,387.5100000,389.0900000,4127
GDAX.ETH-USD,60,20200810,030000,389.1500000,390.6700000,387.6800000,390.4100000,2968
GDAX.ETH-USD,60,20200810,040000,390.4100000,393.4200000,390.4100000,391.5100000,6973
GDAX.ETH-USD,60,20200810,050000,391.5000000,395.4000000,390.6500000,395.2500000,5010
GDAX.ETH-USD,60,20200810,060000,395.2300000,399.0000000,393.0000000,396.8500000,21857
GDAX.ETH-USD,60,20200810,070000,396.9200000,398.7100000,395.5600000,397.9200000,8737
GDAX.ETH-USD,60,20200810,080000,397.9600000,400.2100000,396.0600000,396.4100000,14478
GDAX.ETH-USD,60,20200810,090000,396.4900000,397.3500000,393.7400000,395.5900000,4820
GDAX.ETH-USD,60,20200810,100000,395.6000000,397.2000000,394.6800000,397.2000000,8444
GDAX.ETH-USD,60,20200810,110000,397.2000000,397.7600000,395.2100000,395.6200000,3842
GDAX.ETH-USD,60,20200810,120000,395.8100000,397.1900000,395.2400000,396.0000000,2620
GDAX.ETH-USD,60,20200810,130000,395.9900000,396.2000000,394.0200000,394.7800000,2274
GDAX.ETH-USD,60,20200810,140000,394.7800000,395.8900000,385.4400000,390.4500000,12064
GDAX.ETH-USD,60,20200810,150000,390.3400000,392.7200000,390.3000000,391.4800000,7191
GDAX.ETH-USD,60,20200810,160000,391.4700000,395.5300000,390.6600000,395.2400000,7979
GDAX.ETH-USD,60,20200810,170000,395.2400000,396.5800000,394.2700000,396.5300000,6038
GDAX.ETH-USD,60,20200810,180000,396.5400000,397.3200000,394.7300000,394.8500000,7606
GDAX.ETH-USD,60,20200810,190000,394.7700000,397.8300000,392.3100000,397.5700000,12724
GDAX.ETH-USD,60,20200810,200000,397.5200000,398.4900000,393.5500000,394.4800000,11266
GDAX.ETH-USD,60,20200810,210000,394.4900000,398.1100000,394.3400000,397.7900000,13709
GDAX.ETH-USD,60,20200810,220000,397.7800000,399.2400000,395.7200000,395.8300000,13472
GDAX.ETH-USD,60,20200810,230000,395.9600000,397.5700000,394.4600000,395.8700000,7262
GDAX.ETH-USD,60,20200811,000000,395.8700000,396.9100000,393.2900000,395.2600000,6442
GDAX.ETH-USD,60,20200811,010000,395.2400000,395.5800000,391.8900000,393.9200000,4443
GDAX.ETH-USD,60,20200811,020000,393.9100000,395.6400000,391.9600000,395.1000000,4833
GDAX.ETH-USD,60,20200811,030000,395.0400000,396.0000000,393.6500000,395.7800000,4365
GDAX.ETH-USD,60,20200811,040000,395.7700000,396.7600000,393.8600000,395.5800000,5918
